Compound,Number,F rats,Mean RMSD,I1/I3 H2O,I2/I3 H2O,I1/I3 CHCl3,I2/I3 CHCl3
"Cyclolinopeptide, 85",85,,4.59,0.653445938,0.909608496,0.804715758,0.916718595
"Microcystin-LR, 86",86,,4.97,0.570364473,0.872163476,0.573208857,0.764444376
"SCY-635, 89",89,23.1,5.57,0.574830674,0.710330378,0.4530423,0.813657477
"Alisporivir, 90",90,,3.66,0.438605145,0.922562556,0.578863918,0.85797994
"Dihydromycoplanecin, 98",98,,3.43,0.408373551,0.891329983,0.424374004,0.732594143
"YM254890, 100",100,3,4.86,0.627400433,0.887444856,0.566717381,0.769635093
"Rhizonin A, 101",101,,3.41,0.546950937,0.789248106,0.473184881,0.892163946
"Cyclopeptolide 1, 102",102,,5.33,0.36182805,0.873036447,0.465660351,0.902331677
"Bacitracin A, 104",104,,4.66,0.32899678,0.892565402,0.477820705,0.920233798
"Cereulide, 108",108,76,5.22,0.544381821,0.787845216,0.513295487,0.771879448
"CsA analog NIM811, 109",109,30,5.61,0.450469131,0.848101106,0.497081226,0.855312652
,,4,,,,,
