Compound,Number,MEDIAN RMSD,MEAN RMSD,STD ERROR RMSD,reldiffSASA,reldiffNPSA,reldiffPSA,reldiffVol,reldiffGlob,reldiffLogP,reldiffR-gyr,F
"HCV NS3/4A protease inhibitor, 31",31,1.72,1.67,0.144,0.01,0.03,0.02,0,0.01,0,0.04,8
"HCV NS3/4A protease inhibitor, 32",32,2.76,2.7,0.101,0.05,0.06,0.08,0.02,0.04,0.04,0.05,6
"HCV NS3/4A protease inhibitor, 33",33,2.62,2.59,0.047,0.04,0.03,0.1,0.02,0.03,0.04,0.04,5
"HCV NS3/4A protease inhibitor, 34",34,2.98,3.03,0.093,0.01,0.06,0.09,0,0.01,0.03,0.01,8
"HCV NS3/4A protease inhibitor, 35",35,2.97,2.94,0.042,0.05,0.05,0.07,0.03,0.03,0.05,0.05,13
"HCV NS3/4A protease inhibitor, 36",36,2.77,2.77,0.075,0.05,0.07,0.08,0.03,0.03,0.06,0.05,36
"HCV NS3 protease inhibitor, 37",37,5.14,4.75,0.193,0.08,0.14,0.45,0.03,0.06,0.11,0.06,
"NB-544, 40",40,3.31,3.01,0.216,0.02,0.07,0.28,0.01,0.01,0.02,0.04,
"NB-533, 41",41,4.08,3.97,0.173,0.06,0.07,0.11,0.03,0.04,0.09,0.11,
"NB-216, 42",42,3.39,2.23,0.548,0.05,0.03,0.03,0.04,0.03,0.09,0.11,
"NB-216, 43",43,3.99,3.58,0.268,0.04,0.01,0.07,0.01,0.03,0.05,0.03,
"NB-216, 44",44,2.31,1.89,0.265,0.04,0.03,0.07,0.01,0.03,0.04,0,
"NB-216, 45",45,3.24,3.11,0.322,0.09,0.03,0,0.03,0.07,0.06,0.1,
"CG-1, 47",47,1.91,2.06,0.261,0.08,0.06,0.3,0.05,0.05,-0.23,0.08,10
"Apicidin, 48",48,3.62,3.39,0.238,0,0.01,0.3,0.01,0.01,0.24,0.07,17.5
"Romidepsin, 49",49,1.14,0.93,0.132,0.02,0.02,0,0.01,0.01,0.04,0,15.6
"cyc[Phe-D-Pro-Phe-Trp], 50",50,3.16,2.82,0.347,0.03,0.05,0.21,0.01,0.02,0.18,0,
"Ulimorelin, 51",51,2.71,2.39,0.191,0.06,0.05,0.16,0.03,0.04,0.14,0.11,24
"Ghrelin receptor agonist, 52",52,1.75,1.86,0.113,0.03,0.03,0.05,0.02,0.02,0.06,0.02,
"Ghrelin receptor agonist, 53",53,3.12,3.24,0.104,0.04,0.01,0.06,0.02,0.03,0.11,0.04,36
"DMP-728, 54",54,4.39,4.42,0.032,0.08,0.11,0.3,0.05,0.06,-0.76,0.2,3
"alkoxy-cyc[Leu-enkephalin] analog, 55",55,4,3.92,0.116,0.09,0.06,0.23,0.06,0.05,1.07,0.09,
"alkoxy-cyc[DADLE] analog, 56",56,1.72,2.02,0.574,0,0.01,0.05,0,0,0.29,0,
"cinnamate-cyc[Leu-enkephalin], 57",57,2.52,2.6,0.081,0.04,0.05,0.03,0,0.04,0,0.05,
"Desmopressin, 58",58,4.95,4.99,0.038,0.06,0.28,0.36,0.03,0.04,-0.18,0.07,0.1
"Veber_1979 somastatin analog A, 60",60,5.56,5.31,0.133,0.07,0.13,0.16,0.03,0.05,0.04,0.08,
"Veber_1979 somastatin analog B, 61",61,3.91,3.82,0.095,0.04,0.17,0.4,0,0.04,0.17,0,
"Veber_1979 somastatin analog C, 62",62,4.48,4.51,0.051,0.01,0.08,0.29,0.01,0.01,1.04,0.01,
"Veber_1981 somastatin analog, 63",63,4.14,3.89,0.182,0.02,0.05,0.5,0.02,0,0.29,0,
"Biron_2008 somastatin analog, 64",64,3.59,3.52,0.176,0.04,0.01,0.3,0.03,0.02,0.06,0.01,9.9
"Bauer_1982, somastatin analog, 65",65,3.14,3.09,0.087,0,0.05,0.06,0.01,0.01,-0.01,0.04,
"Octreotide, 66",66,5.08,5.14,0.084,0.03,0.03,0.3,0.03,0.01,-0.28,0.1,0.3
"PF1022A, 67",67,5.62,5.63,0.032,0.06,0.01,0.13,0.02,0.05,0.07,0.08,47
"Emodepside, 68",68,3.91,3.84,0.126,0,0.01,0.08,0,0.01,0.05,0.01,54
"cyc[LLLLPY], 69",69,3.17,2.45,0.366,0,0.02,0.06,0,0,0.04,0.02,28
"Ilatreotide, 70",70,4.06,4.07,0.02,0.03,0.07,0.15,0.02,0.02,-0.18,0.06,1.1
"cyclic NK-1 inhibitor, 71",71,2.72,3.33,0.375,0.05,0.01,0.3,0.02,0.03,2.54,0.06,
"BL3020-1, 72",72,2.99,3.29,0.292,0.03,0.2,0.43,0.02,0.02,-12.46,0.07,8.5
"Melanotan II, 73",73,6.29,6.33,0.065,0.12,0.06,0.44,0.07,0.07,-0.49,0.06,4.6
"Anidulafungin, 74",74,2.18,2.3,0.173,0.1,0.02,0.12,0.04,0.08,0.39,0.04,
"Beauvericin, 74a",74a,1.82,2.4,0.41,0.03,0.02,0.07,0,0.02,0,0.01,
"Enniatin A, 75a",75a,4.31,2.44,0.585,0,0,0.09,0.01,0,0.03,0,
"Enniatin B, 75b",75b,1.93,2.03,0.455,0,0.01,0.02,0,0,0.03,0,
"Enniatin C, 75c",75c,1.44,1.2,0.116,0.03,0.02,0.08,0.01,0.02,0.04,0.01,
"Pristinamycin IA, 76",76,4.77,4.87,0.111,0.06,0.03,0.26,0.03,0.03,0.28,0.04,
"Pristinamycin IIA, 77",77,2.73,2.82,0.114,0.03,0.11,0.18,0.01,0.03,0.12,0.07,
"Cyclochlorotine, 78",78,2.63,2.54,0.06,0.02,0.16,0.29,0.01,0.01,0.86,0.05,5
"Bouvardin, 79",79,2.67,2.58,0.084,0.03,0.04,0.01,0.02,0.02,0.59,0.08,9
"Nepaduant, 80",80,3.16,3.31,0.148,0.05,0.16,0.18,0.03,0.03,-0.13,0.07,5
"Cyclosporin A, 81",81,5.34,5.45,0.202,0.06,0.07,0.07,0.02,0.05,0.97,0.08,30
"AFPep, 82",82,4.46,4.4,0.073,0.02,0.2,0.2,0.01,0.03,-0.05,0.02,
"a-Amanitin, 83",83,1.75,1.81,0.085,0.11,0.03,0.25,0.06,0.07,-0.05,0.06,
"Antanamide, 84",84,4.23,4.38,0.196,0.07,0.03,0.09,0.03,0.05,0.31,0.15,
"Cyclolinopeptide, 85",85,4.7,4.59,0.126,0.05,0.01,0.08,0.02,0.03,0.09,0,
"Microcystin-LR, 86",86,4.93,4.97,0.139,0.13,0.1,0.51,0.06,0.09,0.16,0.11,
"SCY-635, 89",89,5.7,5.57,0.078,0.01,0.02,0.05,0.01,0.02,0.55,0.02,23.1
"Alisporivir, 90",90,3.37,3.66,0.158,0.07,0.07,0.08,0.02,0.05,0.89,0.01,
"Dihydromycoplanecin, 98",98,3.44,3.43,0.056,0.06,0.05,0.08,0.03,0.04,-0.88,0.05,
"YM254890, 100",100,4.87,4.86,0.106,0.04,0.05,0.37,0.01,0.04,2.15,0.01,3
"Rhizonin A, 101",101,3.41,3.41,0.055,0,0.02,0.15,0.01,0.01,0.03,0.01,
"Cyclopeptolide 1, 102",102,5.39,5.33,0.042,0.02,0.09,0.34,0.02,0.01,1.49,0.04,
"Bacitracin A, 104",104,4.36,4.66,0.182,0.06,0.16,0.3,0.03,0.03,-0.14,0.07,
"Cereulide, 108",108,5.21,5.22,0.05,0.04,0.18,0.47,0.02,0.03,0.34,0.01,76
"CsA analog NIM811, 109",109,5.8,5.61,0.208,0.02,0,0.2,0.01,0,0,0.04,30
"3D53, 110",110,4.87,4.86,0.073,0,0.11,0.1,0.01,0.01,0.01,0.02,4
