Compound,Number,F%,NPSA ratio CHCl3,PSA ratio CHCl3,Other CHCl3,NPSA ratio H2O,PSA ratio H2O,Other H2O,Total Charge
"HCV NS3/4A protease inhibitor, 31",31,8,0.57,0.16,0.27,0.58,0.16,0.26,-1
"HCV NS3/4A protease inhibitor, 32",32,6,0.58,0.15,0.28,0.58,0.15,0.26,-1
"HCV NS3/4A protease inhibitor, 33",33,5,0.6,0.14,0.26,0.6,0.15,0.25,-1
"HCV NS3/4A protease inhibitor, 34",34,8,0.57,0.16,0.27,0.6,0.14,0.26,-1
"HCV NS3/4A protease inhibitor, 35",35,13,0.57,0.14,0.28,0.58,0.15,0.27,-1
"HCV NS3/4A protease inhibitor, 36",36,36,0.58,0.14,0.28,0.59,0.15,0.26,-1
"HCV NS3 protease inhibitor, 37",37,,0.63,0.07,0.3,0.58,0.14,0.27,0
"NB-544, 40",40,,0.81,0.09,0.1,0.74,0.12,0.15,1
"NB-533, 41",41,,0.84,0.06,0.09,0.84,0.08,0.09,1
"NB-216, 42",42,,0.67,0.1,0.23,0.61,0.1,0.28,1
"NB-216, 43",43,,0.56,0.1,0.33,0.59,0.12,0.29,1
"NB-216, 44",44,,0.62,0.09,0.29,0.63,0.1,0.27,1
"NB-216, 45",45,,0.6,0.12,0.28,0.64,0.13,0.23,1
"CG-1, 47",47,10,0.48,0.27,0.25,0.41,0.35,0.23,1
"Apicidin, 48",48,17.5,0.73,0.1,0.17,0.72,0.14,0.14,0
"Romidepsin, 49",49,15.6,0.73,0.17,0.09,0.73,0.18,0.09,0
"cyc[Phe-D-Pro-Phe-Trp], 50",50,,0.28,0.12,0.61,0.27,0.15,0.57,0
"Ulimorelin, 51",51,24,0.54,0.08,0.37,0.54,0.09,0.37,1
"Ghrelin receptor agonist, 52",52,,0.51,0.11,0.37,0.51,0.11,0.37,1
"Ghrelin receptor agonist, 53",53,36,0.5,0.09,0.4,0.53,0.11,0.36,1
"DMP-728, 54",54,3,0.47,0.36,0.17,0.38,0.47,0.15,0
"alkoxy-cyc[Leu-enkephalin] analog, 55",55,,0.48,0.25,0.28,0.41,0.3,0.3,0
"alkoxy-cyc[DADLE] analog, 56",56,,0.4,0.29,0.31,0.4,0.3,0.3,0
"cinnamate-cyc[Leu-enkephalin], 57",57,,0.54,0.25,0.21,0.54,0.24,0.22,0
"Desmopressin, 58",58,0.1,0.46,0.32,0.23,0.31,0.46,0.23,1
"Veber_1979 somastatin analog A, 60",60,,0.42,0.21,0.36,0.45,0.24,0.31,
"Veber_1979 somastatin analog B, 61",61,,0.37,0.11,0.51,0.33,0.2,0.47,1
"Veber_1979 somastatin analog C, 62",62,,0.42,0.22,0.36,0.39,0.31,0.3,1
"Veber_1981 somastatin analog, 63",63,,0.39,0.14,0.47,0.37,0.27,0.36,1
"Biron_2008 somastatin analog, 64",64,9.9,0.41,0.14,0.46,0.4,0.18,0.42,1
"Bauer_1982, somastatin analog, 65",65,,0.33,0.29,0.38,0.32,0.31,0.38,1
"Octreotide, 66",66,0.3,0.35,0.21,0.44,0.35,0.29,0.35,2
"PF1022A, 67",67,47,0.69,0.08,0.23,0.64,0.09,0.27,0
"Emodepside, 68",68,54,0.81,0.07,0.13,0.82,0.06,0.12,
"cyc[LLLLPY], 69",69,28,0.74,0.14,0.12,0.76,0.13,0.11,0
"Ilatreotide, 70",70,1.1,0.38,0.27,0.35,0.36,0.33,0.31,
"cyclic NK-1 inhibitor, 71",71,,0.51,0.19,0.29,0.48,0.26,0.26,1
"BL3020-1, 72",72,8.5,0.26,0.22,0.52,0.2,0.37,0.43,1
"Melanotan II, 73",73,4.6,0.48,0.24,0.28,0.4,0.38,0.23,2
"Anidulafungin, 74",74,,0.46,0.28,0.26,0.4,0.29,0.31,
"Beauvericin, 74a",74a,,0.48,0.08,0.45,0.48,0.07,0.45,0
"Enniatin A, 75a",75a,,0.94,0.06,0,0.94,0.06,0,0
"Enniatin B, 75b",75b,,0.93,0.07,0,0.93,0.07,0,0
"Enniatin C, 75c",75c,,0.92,0.08,0,0.92,0.08,0,0
"Pristinamycin IA, 76",76,,0.51,0.17,0.32,0.46,0.22,0.32,0
"Pristinamycin IIA, 77",77,,0.65,0.24,0.11,0.6,0.29,0.1,0
"Cyclochlorotine, 78",78,5,0.42,0.2,0.38,0.36,0.28,0.36,0
"Bouvardin, 79",79,9,0.47,0.2,0.33,0.47,0.2,0.33,0
"Nepaduant, 80",80,5,0.43,0.28,0.29,0.38,0.37,0.25,1
"Cyclosporin A, 81",81,30,0.93,0.06,0.01,0.92,0.07,0.01,
"AFPep, 82",82,,0.61,0.39,0,0.5,0.5,0,0
"a-Amanitin, 83",83,,0.51,0.35,0.14,0.47,0.42,0.11,0
"Antanamide, 84",84,,0.48,0.08,0.43,0.5,0.1,0.4,
"Cyclolinopeptide, 85",85,,0.68,0.08,0.24,0.73,0.08,0.2,-1
"Microcystin-LR, 86",86,,0.7,0.17,0.13,0.54,0.31,0.15,
"SCY-635, 89",89,23.1,0.89,0.07,0.04,0.92,0.07,0.01,
"Alisporivir, 90",90,,0.9,0.09,0.01,0.9,0.09,0.01,
"Dihydromycoplanecin, 98",98,,0.86,0.14,0,0.87,0.13,0,
"YM254890, 100",100,3,0.7,0.15,0.15,0.63,0.23,0.14,0
"Rhizonin A, 101",101,,0.71,0.06,0.23,0.73,0.07,0.2,0
"Cyclopeptolide 1, 102",102,,0.84,0.1,0.06,0.78,0.16,0.07,
"Bacitracin A, 104",104,,0.61,0.27,0.11,0.49,0.37,0.15,
"Cereulide, 108",108,76,0.86,0.14,0,0.74,0.27,0,
"CsA analog NIM811, 109",109,30,0.94,0.05,0,0.92,0.07,0.01,
"3D53, 110",110,4,0.56,0.2,0.25,0.5,0.22,0.28,1
