,F%,Mol. Weight,H-bonds Donors,H-bonds Acceptors,(N+O),logP mean,logP sd,logS mean,logS sd,NPSA mean,NPSA mean,PSA mean,PSA sd,Rgyr mean,Rgyr sd,Gsolv mean,Gsolv sd,RotBonds,Amine groups,Amidine/Guanidine groups,Carboxylic Acid groups,Amide groups,RO5 violations
"TMC435, 19",44,763.965,1.25,13.75,12,5.147,0.050163067,-7.627,0.026857649,746.224,3.877081677,110.545,5.656954658,5.32,0,22.23,0.132790562,7,0,0,0,2,3
"cyclic tripeptide, 20",97,638.803,1,11.5,11,3.915,0.065615039,-3.917,0.109013761,675.46,12.65270418,120.271,13.91238917,4.92,0.09539392,19.37,0.20808652,19,0,0,0,3,2
"cyclic pentapeptide, 21",3,816.993,0.75,16.25,15,2.751,0.061,-2.513,0.279232878,663.34,30.03105018,131.331,2.484077361,4.78,0.01,21.33,0.130128142,22,0,0,0,5,2
"Venkatraman-2009, 22",,736.983,1.5,14,13,2.868,0.324790702,-2.102,0.287626494,617.377,4.735491562,152.305,10.70581339,4.55,0.232450712,18.22,0.904230796,24,0,0,0,3,2
"Venkatraman-2009, 23",,654.864,1.5,14,13,2.974,0.044305756,-4.323,0.625590121,802.005,8.650240767,172.148,12.70749019,5.48,0.07,21.23,0.391194751,23,0,0,0,3,2
"Venkatraman-2009, 24",,722.957,1.5,14,13,4.174,0.094129344,-4.938,0.451737018,712.088,12.2379087,163.39,11.67888224,5.8,0.242143208,22.87,0.205507502,24,0,0,0,3,2
"Venkatraman-2009, 25",,717.922,1.5,15,14,3.655,0.087751543,-4.488,0.532746656,707.54,12.86429844,166.112,5.660970794,5.69,0.16643317,23.57,0.374477414,24,0,0,0,3,2
"Venkatraman-2009, 26",,685.902,1.5,13.5,12,3.985,0.130481161,-6.884,0.968520693,884.916,37.35343363,196.792,9.72372235,5.92,0.207846097,21.83,0.401289588,22,0,0,0,3,2
"Venkatraman-2009, 27",,671.919,1.5,11.5,11,4.252,0.05532028,-2.51,0.155733747,760.355,5.366598768,73.265,7.645836078,4.34,0.011547005,17.11,0.047258156,22,0,0,0,3,2
"MK-1220, 28",37,765.92,1.5,13.25,14,5.168,0.372796638,-6.674,0.882578231,749.072,54.72023126,133.909,25.27007299,5.07,0.127410099,22.48,0.618573628,17,0,0,0,2,2
"MK-5172, 29",12,766.908,1.5,14.25,15,4.018,0.237390677,-4.769,0.698789191,673.355,26.96832001,170.97,8.758486228,5.04,0.176729549,21.31,1.167961187,19,0,0,0,2,2
"Vaniprevir (MK-7009), 30",15,757.941,1.5,14,14,4.612,0.049369356,-5.901,0.371201203,735.207,12.3101829,163.034,10.85876265,5.4,0.15011107,20.97,0.786786714,17,0,0,0,2,2
"HCV NS3/4A protease inhibitor, 31",8,750.926,1.5,13.5,13,4.947,0.092570694,-6.404,0.177271919,594.412,9.47342578,162.297,9.735093751,5.46,0.037859389,22.42,0.151767366,17,0,0,0,2,3
"HCV NS3/4A protease inhibitor, 32",6,764.953,1.5,13.5,13,5.056,0.038695392,-6.008,0.020502032,580.583,2.473553988,148.484,5.125057951,5.44,0.015275252,22.3,0.079372539,17,0,0,0,2,3
"HCV NS3/4A protease inhibitor, 33",5,766.969,1.5,13.5,13,5.203,0.036087856,-6.127,0.040203648,616.904,3.584938819,145.459,2.83598666,5.46,0.005773503,22.2,0.035118846,18,0,0,0,2,3
"HCV NS3/4A protease inhibitor, 34",8,790.991,1.5,13.5,13,5.498,0.048345975,-7.083,0.194489931,613.582,7.123995298,170.711,10.85549641,5.68,0.096436508,23.88,0.586543548,17,0,0,0,2,3
"HCV NS3/4A protease inhibitor, 35",13,764.953,1.5,13.5,13,5.073,0.013228757,-5.895,0.02532456,584.892,1.765356149,147.11,1.175770953,5.44,0.032145503,22.36,0.017320508,18,0,0,0,2,3
"HCV NS3/4A protease inhibitor, 36",36,776.964,1.5,13.5,13,5.195,0.076787586,-6.18,0.098605274,592.951,1.529774275,147.374,1.312774543,5.46,0.015275252,22.58,0.31214313,17,0,0,0,2,3
"HCV NS3 protease inhibitor, 37",,887.041,2.5,16,14,6.917,0.052319531,-8.799,0.08281908,741.276,5.435225325,85.261,9.207131855,5.82,0.060827625,24.86,0.18036999,11,0,0,1,2,3
"NB-544, 40",,487.724,3,8.7,6,3.176,0.471351249,-1.689,0.870549443,611.935,54.80075644,64.81,11.19519689,4.2,0.38759945,14.24,1.282354605,21,1,0,0,2,0
"NB-533, 41",,557.815,3,9.45,7,4.439,0.141747428,-4.02,0.722640528,770.138,29.23026856,58.699,0.387990979,5.37,0.372066302,17,0.71526219,20,1,0,0,2,1
"NB-216, 42",,571.758,4,8.65,7,4.835,0.01569501,-2.723,0.141369492,518.93,12.32257856,80.127,0.949611148,4.28,0.03,16.59,0.240624188,19,1,0,0,0,1
"NB-216, 43",,517.667,3,7.45,7,4.869,0.1755686,-3.111,0.470994692,430.159,17.18873591,78.973,4.044356933,4.17,0.362261416,16.1,0.430038758,18,1,0,0,0,2
"NB-216, 44",,543.705,3,6.95,7,5.793,0.334251901,-4.33,0.662500063,506.869,2.454760545,71.431,5.645324289,4.19,0.251064401,16.32,0.700642562,17,1,0,0,0,2
"NB-216, 45",,573.731,3,8.65,8,5.186,0.350388356,-3.988,0.965491757,507.222,57.14685666,102.897,0.535518752,4.87,0.470779495,18.28,0.940762102,19,1,0,0,0,2
"CG-1, 47",10,487.601,7.25,11.75,11,-1.053,0.040611985,-1.561,0.029143324,350.073,2.220546404,200.08,5.868124175,4.25,0.043588989,15.49,0.17,9,0,1,0,4,2
"Apicidin, 48",17.5,623.791,2.25,13.95,11,1.383,0.133020049,-1.156,0.448536881,611.701,16.18944027,82.052,13.5620796,4.19,0.037859389,16.71,0.090184995,12,1,0,0,4,2
"Romidepsin, 49",15.6,540.692,1,10,10,2.611,0.051393904,-4.06,0.200000833,536.994,8.913774135,125.689,3.678643002,3.9,0.005773503,15.81,0.055075705,8,0,0,0,2,1
"cyc[Phe-D-Pro-Phe-Trp], 50",,577.682,3.25,9.75,9,2.985,0.077967942,-5.109,0.18107457,237.224,4.598097578,98.541,4.539837442,4.39,0.060827625,19.4,0.805253583,6,0,0,0,4,1
"Ulimorelin, 51",24,538.661,2.25,9.5,8,2.66,0.240069434,-0.878,0.525035554,416.736,7.513727526,63.127,7.451375063,4.09,0.19078784,16.84,0.953642141,17,1,0,0,3,1
"Ghrelin receptor agonist, 52",,492.617,2.25,9.5,8,1.789,0.03176476,0.107,0.065576927,366.142,6.373246609,79.251,1.552605981,4.05,0.015275252,16.02,0.277308492,17,1,0,0,3,0
"Ghrelin receptor agonist, 53",36,542.625,2.25,9.5,8,2.841,0.324580242,-2.025,0.996309356,401.176,12.03448854,75.418,8.857318123,4.51,0.160934769,16.96,0.825287829,17,1,0,0,3,1
"DMP-728, 54",3,546.582,4.75,12.75,15,-0.627,0.052204725,0.886,0.283768098,344.58,6.925732621,266.847,6.749258132,4,0.02081666,17.59,0.586202468,18,0,1,1,4,3
"alkoxy-cyc[Leu-enkephalin] analog, 55",,625.677,2.25,13.2,14,-0.014,0.11517957,0.902,0.458809692,375.941,14.46356921,196.504,20.45944239,4.46,0.225388553,17.84,0.792212093,21,0,0,0,5,3
"alkoxy-cyc[DADLE] analog, 56",,639.704,2.25,13.2,14,0.386,0.027153882,0.092,0.057134345,347.914,4.243553582,246.096,25.81734071,4.39,0.104403065,20.56,1.185762764,21,0,0,0,5,3
"cinnamate-cyc[Leu-enkephalin], 57",,703.834,2.25,12,13,2.778,0.015620499,-2.434,0.349628851,487.811,5.417666503,229.639,14.91386718,4.66,0.132790562,19.84,0.814309523,21,0,0,0,4,3
"Desmopressin, 58",0.1,1069.218,12.5,26.25,26,-5.375,0.103261803,2,0,502.498,9.8907968,348.607,10.16083487,5.17,0.005773503,24.04,0.090184995,36,0,1,0,11,3
"Veber_1979 somastatin analog A, 60",,1403.719,8.5,24.4,27,0.757,0.161041403,2,0,606.593,2.702179861,308.377,76.51821538,6.09,0.115902258,30.42,1.235597022,54,2,0,0,11,3
"Veber_1979 somastatin analog B, 61",,984.206,5.5,14.7,17,4.053,0.176162803,-1.922,0.129849913,450.275,15.6385565,137.141,2.41622212,5.32,0.01,25.83,0.230289673,34,1,0,0,7,3
"Veber_1979 somastatin analog C, 62",,894.115,5.5,15.7,17,0.768,0.209612341,2,0.039259818,409.083,13.50713593,208.372,6.519501438,5,0.005773503,22.6,0.352325607,35,1,0,0,7,3
"Veber_1981 somastatin analog, 63",,806.96,4.25,13.45,15,2.304,0.008082904,-1.415,0.056293872,388.636,3.844177589,133.677,5.945281266,4.92,0.056862407,22.18,0.381575681,24,1,0,0,6,3
"Biron_2008 somastatin analog, 64",9.9,849.04,3.5,17.2,15,1.725,0.237000703,-1.238,0.679788447,424.624,34.41090608,141.271,0.373095609,5.39,0.08660254,24.37,0.405133723,24,1,0,0,6,3
"Bauer_1982, somastatin analog, 65",,783.959,8.25,14.95,16,-1.328,0.112254176,2,0,318.189,12.64474695,276.379,51.3335393,4.73,0.14571662,21.87,1.494389507,28,2,0,0,6,3
"Octreotide, 66",0.3,1019.241,9.5,20.1,20,-0.465,0.067815927,2,0,398.07,18.06856456,236.572,8.828706814,5.17,0.19655364,25.23,0.535070089,37,2,0,0,7,3
"PF1022A, 67",47,949.192,0,20,16,4.15,0.065046137,-1.163,0.392809114,770.226,14.06122627,89.405,2.006292435,4.96,0.011547005,23.36,0.117189306,28,0,0,0,4,2
"Emodepside, 68",54,1119.403,0,25.4,20,4.569,0.026764404,-3.103,0.094875357,1102.135,10.0529841,94.816,9.137965984,6.68,0.200748599,28.97,0.438900141,28,0,0,0,4,2
"cyc[LLLLPY], 69",28,740.982,1.75,15,13,2.218,0.143855251,-2.636,0.832466816,760.716,40.46310207,148.616,15.05384419,5.01,0.070237692,21.38,0.34210135,22,0,0,0,6,2
"Ilatreotide, 70",1.1,1343.525,15.5,35.7,30,-3.975,0.175574296,2,0,509.859,15.27647948,368.008,6.109849507,6.1,0.015275252,30.43,0.38,49,2,0,0,7,3
"cyclic NK-1 inhibitor, 71",,936.18,8.25,19.25,19,0.154,0.173508885,0.342,0.36911561,553.831,17.48766065,210.92,4.387501149,4.99,0.055075705,23.06,1.020147048,35,0,1,0,8,3
"BL3020-1, 72",8.5,835.961,9,17,18,-0.078,0.288097784,-1.282,1.197377551,277.161,38.61178665,229.8,30.17569065,5.16,0.216564078,23.63,0.997847684,27,0,1,0,7,3
"Melanotan II, 73",4.6,1024.19,10.5,20.5,24,-1.262,0.094694245,1.971,0.132145122,532.329,9.183225305,262.959,0.18939113,5.26,0.01,25.94,0.026457513,35,0,1,0,9,3
"Anidulafungin, 74",,1140.251,6,25.6,24,0.631,0.472834361,-1.645,1.744343525,619.629,20.17408083,380.724,7.73534494,6.86,0.412835722,28.77,2.739568092,36,0,0,0,6,3
"Beauvericin, 74a",,783.96,0,15,12,4.792,0.035246749,-3.977,0.123757828,493.327,5.668667598,77.966,1.843254278,5.03,0.011547005,21.85,0.026457513,21,0,0,0,3,2
"Enniatin A, 75a",,681.908,0,15,12,3.082,0.040796242,-2.296,0.043312816,884.28,1.217355467,54.022,1.432983717,4.45,0.015275252,16.91,0.046188022,21,0,0,0,3,2
"Enniatin B, 75b",,639.828,0,15,12,2.244,0.082857307,-1.482,0.21222708,813.115,2.887003695,59.493,4.485911724,4.28,0.01,16.01,0.025166115,18,0,0,0,3,2
"Enniatin C, 75c",,681.908,0,15,12,3.164,0.026851443,-2.684,0.015620499,878.675,6.186533305,77.376,3.947464376,4.5,0.015275252,17.03,0.127410099,21,0,0,0,3,2
"Pristinamycin IA, 76",,837.931,1,19.25,18,0.415,0.062612565,-2.056,0.307724444,521.209,42.92449903,175.733,16.92443808,4.9,0.08,23.91,1.268240251,18,0,0,0,6,2
"Pristinamycin IIA, 77",,511.574,1,12.2,10,2.478,0.012503333,-3.179,0.130005128,503.91,2.039057707,181.218,5.222377077,4.67,0.07,16.77,0.17953644,15,0,0,0,0,1
"Cyclochlorotine, 78",5,572.444,0.75,11.15,12,0.605,0.080450813,-1.464,0.081559794,326.604,10.57808863,153.503,17.27518009,4.32,0.011547005,16.86,0.075718778,16,0,0,0,5,3
"Bouvardin, 79",9,772.853,1.75,16.95,16,0.353,0.133080176,-1.869,0.259809546,458.672,7.160743001,191.467,11.80924587,5.85,0.011547005,22.06,0.240069434,15,0,0,0,6,2
"Nepaduant, 80",5,904.975,10.5,24.3,22,-3.934,0.172540816,-1.381,0.838003182,501.674,22.19666561,328.464,26.02198225,5.1,0.066583281,24.77,0.323161466,14,1,0,0,8,3
"Cyclosporin A, 81",30,1202.625,1,28.7,23,0.448,0.202243253,-0.351,0.284,1286.034,2.578458713,87.83,12.77235665,6.08,0.134288247,27.26,0.213775583,38,0,0,0,11,2
"AFPep, 82",,969.016,10.25,29.85,28,-10.41,0.038423083,2,0,645.244,14.27687054,414.832,11.27430239,5.09,0.036055513,22.3,0.631294965,33,1,0,1,11,3
"a-Amanitin, 83",,918.974,8.25,27.1,24,-6.451,0.080226762,2,0,492.988,5.397867357,336.777,15.68464703,4.94,0,23.52,0.06350853,31,0,0,0,9,3
"Antanamide, 84",,1147.381,1.5,22.5,20,3.131,0.406965601,-4.306,0.638267447,650.724,8.608613303,112.298,10.99024715,6.28,0.015275252,29.81,0.318799833,25,0,0,0,10,3
"Cyclolinopeptide, 85",,1040.353,1.75,18.25,18,3.782,0.126262953,-4.108,0.436768054,855.386,17.28186718,100.943,5.294651673,5.25,0.030550505,24.88,0.056862407,29,0,0,0,9,3
"Microcystin-LR, 86",,995.183,7,20.7,22,3.506,0.326868475,-0.433,0.17326954,756.601,18.15587939,187.333,21.6517852,5.17,0.037859389,23.85,0.904212364,34,0,1,2,5,3
"SCY-635, 89",23.1,1321.807,2,31.95,25,0.279,0.160832211,1.022,0.918467746,1345.444,46.3748805,105.186,14.53450895,6.32,0.1040833,29.29,1.161651124,43,1,0,0,11,3
"Alisporivir, 90",,1216.652,1,28.7,23,0.481,0.113120879,-0.255,0.495532374,1269.936,26.75546578,126.596,7.736383156,5.98,0.196723156,27.66,0.355387113,38,0,0,0,11,2
"Dihydromycoplanecin, 98",,1185.552,1.75,29.95,23,-0.464,0.070741313,-0.721,0.207899816,1213.525,10.49929145,192.216,4.516059603,6.21,0.017320508,26.11,0.226053091,32,0,0,0,10,2
"YM254890, 100",3,959.104,1.25,24.15,22,0.305,0.190536086,1.592,0.342360921,738.7,16.9992056,157.887,9.799007042,5.11,0.060277138,22.6,0.246644143,28,0,0,0,6,3
"Rhizonin A, 101",,812.017,1,17,16,1.793,0.36440225,-1.96,0.550311124,725.783,23.29816877,60.769,4.383878192,5,0.035118846,21.73,0.27784888,24,0,0,0,7,2
"Cyclopeptolide 1, 102",,1126.398,1.75,28,23,0.478,0.096365623,0.799,0.160428593,1054.455,9.75641389,126.218,0.537025449,5.62,0.01,23.59,0.225018518,31,0,0,1,9,2
"Bacitracin A, 104",,1422.704,12,31,33,-4.68,0.296924794,2,0,844.969,55.0711157,373.209,30.99851724,5.98,0.085049005,28.93,0.311341185,51,2,0,2,12,3
"Cereulide, 108",76,1153.415,1.5,22.5,24,4.462,0.076559345,-3.87,0.099082457,1131.338,2.136560866,176.933,3.482505276,5.54,0.034641016,23.67,0.110151411,36,0,0,0,6,3
"CsA analog NIM811, 109",30,1202.625,1,28.7,23,0.488,0.129113645,-0.526,0.444475346,1274.499,13.22479607,73.267,9.764762431,5.67,0.087177979,26.1,1.205003458,38,0,0,0,11,2
"3D53, 110",4,896.1,7.25,16.25,18,0.987,0.018876794,-1.656,0.184892762,574.78,11.47765069,204.277,7.57506385,5.16,0.026457513,22.28,0.01,26,0,1,0,7,3
